,date,shop_id,item_id,item_price,item_cnt_day,item_id,item_earnings,total_items_sold,date,id,item_id,item_earnings,total_items_sold,date,shop_id,shop_earnings,total_items_sold,date
0,2015-01-04,29,1469,1199.0,1.0,1469,3597.0,3.0,03/09/2019,43,1469,3597.0,3.0,03/12/2019,29,28579.0,24.0,03/09/2019
1,2015-01-04,29,1469,1199.0,1.0,1469,3597.0,3.0,03/12/2019,43,1469,3597.0,3.0,03/12/2019,29,28579.0,24.0,03/09/2019
2,2015-01-04,29,1469,1199.0,1.0,1469,3597.0,3.0,03/12/2019,43,1469,3597.0,3.0,03/12/2019,29,28579.0,24.0,03/09/2019
3,2015-01-04,29,1469,1199.0,1.0,1469,3597.0,3.0,03/09/2019,43,1469,3597.0,3.0,03/12/2019,29,28579.0,24.0,03/12/2019
4,2015-01-04,29,1469,1199.0,1.0,1469,3597.0,3.0,03/12/2019,43,1469,3597.0,3.0,03/12/2019,29,28579.0,24.0,03/12/2019
5,2015-01-04,29,1469,1199.0,1.0,1469,3597.0,3.0,03/12/2019,43,1469,3597.0,3.0,03/12/2019,29,28579.0,24.0,03/12/2019
6,2015-01-04,28,21364,479.0,1.0,21364,7616.0,22.0,03/09/2019,940,21364,7616.0,22.0,03/12/2019,28,58538.0,82.0,03/09/2019
7,2015-01-04,28,21364,479.0,1.0,21364,7616.0,22.0,03/12/2019,940,21364,7616.0,22.0,03/12/2019,28,58538.0,82.0,03/09/2019
8,2015-01-04,28,21364,479.0,1.0,21364,7616.0,22.0,03/12/2019,940,21364,7616.0,22.0,03/12/2019,28,58538.0,82.0,03/09/2019
9,2015-01-04,28,21364,479.0,1.0,21364,7616.0,22.0,03/09/2019,940,21364,7616.0,22.0,03/12/2019,28,58538.0,82.0,03/12/2019
10,2015-01-04,28,21364,479.0,1.0,21364,7616.0,22.0,03/12/2019,940,21364,7616.0,22.0,03/12/2019,28,58538.0,82.0,03/12/2019
11,2015-01-04,28,21364,479.0,1.0,21364,7616.0,22.0,03/12/2019,940,21364,7616.0,22.0,03/12/2019,28,58538.0,82.0,03/12/2019
12,2015-01-04,28,21365,999.0,2.0,21365,9890.0,12.0,03/09/2019,941,21365,9890.0,12.0,03/12/2019,28,58538.0,82.0,03/09/2019
