item_id,total_revenue,total_sold
30,507.0,3
31,1089.0,3
32,447.0,3
42,897.0,3
59,747.0,3
74,1497.0,3
109,747.0,3
259,747.0,3
464,897.0,3
482,9900.0,6
482,29700.0,6
486,900.0,15
486,900.0,15
486,1800.0,15
486,900.0,15
486,1800.0,15
492,1800.0,3
493,750.0,3
494,1140.0,3
686,4500.0,3
687,1800.0,3
787,1260.0,3
799,75.0,3
803,300.0,3
806,747.0,6
806,2241.0,6
837,13800.0,3
839,9900.0,6
839,9900.0,6
970,1047.0,6
970,1047.0,6
971,1047.0,3
1007,3597.0,3
1010,1497.0,3
1045,597.0,3
1114,-897.0,6
1114,652.5,6
1143,1197.0,3
1201,897.0,3
1204,897.0,3
1256,447.0,3
1260,3744.0,3
1310,747.0,3
1315,1347.0,3
1364,1197.0,9
1364,1197.0,9
1364,1197.0,9
1370,297.0,3
1373,237.60000000000002,3
1384,894.0,6
1384,894.0,6
1389,5994.0,3
1390,4194.0,3
1467,3597.0,6
1467,3597.0,6
1469,3597.0,9
1469,3597.0,9
1469,3597.0,9
1523,-2397.0,3
1534,3897.0,3
1535,5997.0,3
1556,7368.0,3
1563,5397.0,6
1563,5397.0,6
1568,5997.0,15
1568,5997.0,15
1568,5997.0,15
1568,5997.0,15
1568,5997.0,15
1569,8997.0,3
1570,8997.0,6
1570,8997.0,6
1670,1497.0,3
1682,1347.0,3
1744,897.0,3
1824,84.0,3
1826,84.0,3
1855,2397.0,3
1857,5997.0,3
1858,3597.0,3
1866,8997.0,3
1875,35982.0,3
1876,7797.0,9
1876,7797.0,9
1876,7797.0,9
1877,10797.0,6
1877,10797.0,6
1878,-7797.0,6
1878,7797.0,6
1880,8547.0,3
1883,11997.0,3
1892,2094.0,3
1905,747.0,12
1905,747.0,12
1905,747.0,12
1905,747.0,12
1914,747.0,3
1941,2094.0,3
1968,174.0,3
1969,11997.0,48
1969,11997.0,48
1969,35991.0,48
1969,35991.0,48
1969,11997.0,48
1969,11997.0,48
1969,11997.0,48
1969,11997.0,48
1969,11997.0,48
1969,23994.0,48
1969,11997.0,48
1969,10197.0,48
1969,11997.0,48
1969,11997.0,48
1969,11997.0,48
1969,23994.0,48
1970,53994.0,9
1970,26997.0,9
1970,26997.0,9
1971,13497.0,24
1971,26994.0,24
1971,13497.0,24
1971,13497.0,24
1971,13497.0,24
1971,13497.0,24
1971,13497.0,24
1971,13497.0,24
2047,1188.0,6
2047,594.0,6
2049,2994.0,6
2049,2994.0,6
2070,294.0,9
2070,294.0,9
2070,294.0,9
2140,1047.0,3
2252,1197.0,9
2252,1197.0,9
2252,1197.0,9
2254,4197.0,3
2269,1797.0,9
2269,1797.0,9
2269,1797.0,9
2283,2997.0,6
2283,2997.0,6
2284,8997.0,3
2286,8997.0,3
2293,2997.0,6
2293,5994.0,6
2297,7794.0,3
2308,597.0,9
2308,597.0,9
2308,597.0,9
2354,1194.0,3
2416,2097.0,12
2416,2760.0,12
2416,2097.0,12
2416,2097.0,12
2429,5397.0,3
2442,3597.0,3
2445,3594.0,6
2445,1797.0,6
2517,1197.0,3
2574,1347.0,3
2575,-6297.0,3
2578,1047.0,3
2592,1497.0,6
2592,1497.0,6
2690,-4794.0,3
2734,2097.0,3
2753,897.0,3
2755,2997.0,3
2760,1197.0,3
2766,597.0,3
2778,297.0,6
2778,297.0,6
2799,1497.0,6
2799,1497.0,6
2808,2997.0,9
2808,2997.0,9
2808,2997.0,9
2813,2697.0,6
2813,2697.0,6
2817,11397.0,3
2819,6594.0,6
2819,6594.0,6
2851,2127.0299999999997,3
2852,5994.0,6
2852,5994.0,6
2853,5994.0,6
2853,5994.0,6
2861,5397.0,6
2861,5397.0,6
2868,2997.0,3
2871,2997.0,3
2878,10497.0,3
2881,2997.0,3
2918,2115.63,3
2919,2552.8500000000004,3
2934,1347.0,3
2937,2598.0,3
2939,1347.0,3
2946,-1347.0,3
2954,2164.6499999999996,6
2954,2115.63,6
2959,1914.12,3
2969,168.0,3
2975,6597.0,3
2976,6597.0,3
3007,5970.0,3
3025,10794.0,3
3026,7797.0,3
3027,8997.0,3
3028,7797.0,6
3028,7797.0,6
3054,6897.0,3
3071,2397.0,21
3071,2397.0,21
3071,2397.0,21
3071,2397.0,21
3071,4794.0,21
3071,2397.0,21
3071,2397.0,21
3072,10497.0,6
3072,10497.0,6
3077,3597.0,3
3084,897.0,3
3108,1047.0,3
3115,1047.0,3
3141,3540.0,6
3141,3540.0,6
3146,7770.0,3
3148,5550.0,3
3156,2250.0,3
3170,897.0,3
3234,1494.0,3
3236,7194.0,3
3238,7194.0,3
3243,4497.0,3
3251,174.0,6
3251,174.0,6
3303,84.0,3
