shop_id,item_price,item_cnt_day
2,99070.5,81
3,67443.0,33
4,29361.0,39
5,33138.0,45
6,116352.0,150
7,52371.0,63
10,22707.0,30
12,212196.39999999898,216
14,33456.0,51
15,125139.0,93
16,119526.0,66
18,35391.0,96
19,61008.0,60
21,224818.5,180
22,124665.0,141
24,56955.0,69
25,281796.0,312
26,119025.0,111
27,156324.0,180
28,175614.0,246
29,85737.0,72
31,268098.0,402
34,12117.0,18
35,89337.0,84
37,212103.0,63
38,73482.0,66
39,30369.0,54
41,36840.0,30
42,327863.99999999994,249
44,143069.99999999997,51
45,49107.0,96
46,93185.39999999998,99
47,80142.0,78
48,32745.0,63
49,35784.0,33
50,142008.0,69
51,9285.0,24
52,65512.01999999999,72
53,49893.0,78
54,119352.0,195
55,72612.6,180
56,47109.0,75
57,219234.0,324
58,135318.0,168
59,112352.99999999997,111
