item_id,item_price,qty_day
30,169.0,3.0
31,363.0,3.0
32,149.0,3.0
42,299.0,3.0
59,249.0,3.0
74,499.0,3.0
109,249.0,3.0
259,249.0,3.0
464,299.0,3.0
482,3300.0,12.0
486,300.0,21.0
492,600.0,3.0
493,250.0,3.0
494,380.0,3.0
686,1500.0,3.0
687,600.0,3.0
787,420.0,3.0
799,25.0,3.0
803,100.0,3.0
806,249.0,12.0
837,4600.0,3.0
839,3300.0,6.0
970,349.0,6.0
971,349.0,3.0
1007,1199.0,3.0
1010,499.0,3.0
1045,199.0,3.0
1114,217.5,3.0
1114,299.0,-3.0
1143,399.0,3.0
1201,299.0,3.0
1204,299.0,3.0
1256,149.0,3.0
1260,1248.0,3.0
1310,249.0,3.0
1315,449.0,3.0
1364,399.0,9.0
1370,99.0,3.0
1373,79.2,3.0
1384,298.0,6.0
1389,1998.0,3.0
1390,1398.0,3.0
1467,1199.0,6.0
1469,1199.0,9.0
1523,799.0,-3.0
1534,1299.0,3.0
1535,1999.0,3.0
1556,2456.0,3.0
1563,1799.0,6.0
1568,1999.0,15.0
1569,2999.0,3.0
1570,2999.0,6.0
1670,499.0,3.0
1682,449.0,3.0
1744,299.0,3.0
1824,28.0,3.0
1826,28.0,3.0
1855,799.0,3.0
1857,1999.0,3.0
1858,1199.0,3.0
1866,2999.0,3.0
1875,1999.0,18.0
1876,2599.0,9.0
1877,3599.0,6.0
1878,2599.0,0.0
1880,2849.0,3.0
1883,3999.0,3.0
1892,698.0,3.0
1905,249.0,12.0
1914,249.0,3.0
1941,698.0,3.0
1968,58.0,3.0
1969,3399.0,3.0
1969,3999.0,63.0
1970,8999.0,12.0
1971,4499.0,27.0
2047,198.0,9.0
2049,998.0,6.0
2070,98.0,9.0
2140,349.0,3.0
2252,399.0,9.0
2254,1399.0,3.0
2269,599.0,9.0
2283,999.0,6.0
2284,2999.0,3.0
2286,2999.0,3.0
2293,999.0,9.0
2297,2598.0,3.0
2308,199.0,9.0
2354,398.0,3.0
2416,460.0,6.0
2416,699.0,9.0
2429,1799.0,3.0
2442,1199.0,3.0
2445,599.0,9.0
2517,399.0,3.0
2574,449.0,3.0
2575,2099.0,-3.0
2578,349.0,3.0
2592,499.0,6.0
2690,1598.0,-3.0
2734,699.0,3.0
2753,299.0,3.0
2755,999.0,3.0
2760,399.0,3.0
2766,199.0,3.0
2778,99.0,6.0
2799,499.0,6.0
2808,999.0,9.0
2813,899.0,6.0
2817,3799.0,3.0
2819,2198.0,6.0
2851,709.01,3.0
2852,666.0,18.0
2853,666.0,18.0
2861,1799.0,6.0
2868,999.0,3.0
2871,999.0,3.0
2878,3499.0,3.0
2881,999.0,3.0
2918,705.21,3.0
2919,850.95,3.0
2934,449.0,3.0
2937,866.0,3.0
2939,449.0,3.0
2946,449.0,-3.0
2954,705.21,3.0
2954,721.55,3.0
2959,638.04,3.0
2969,28.0,6.0
2975,2199.0,3.0
2976,2199.0,3.0
3007,1990.0,3.0
3025,1799.0,6.0
3026,2599.0,3.0
3027,2999.0,3.0
3028,2599.0,6.0
3054,2299.0,3.0
3071,799.0,24.0
3072,3499.0,6.0
3077,1199.0,3.0
3084,299.0,3.0
3108,349.0,3.0
3115,349.0,3.0
3141,1180.0,6.0
3146,2590.0,3.0
3148,1850.0,3.0
3156,750.0,3.0
3170,299.0,3.0
3234,498.0,3.0
3236,2398.0,3.0
3238,2398.0,3.0
3243,1499.0,3.0
3251,58.0,6.0
3303,28.0,3.0
3327,149.0,3.0
3329,1199.0,6.0
3331,799.0,3.0
3340,1799.0,6.0
3341,2599.0,15.0
3342,2999.0,9.0
3343,2599.0,3.0
3423,1399.0,3.0
3443,1799.0,3.0
3447,2098.0,3.0
3460,1799.0,3.0
3461,2999.0,3.0
3472,549.0,3.0
3473,499.0,3.0
3476,799.0,3.0
3477,1599.0,3.0
3484,6799.0,3.0
3553,2799.0,12.0
3580,299.0,3.0
3605,349.0,3.0
3617,299.0,3.0
3633,1599.0,3.0
3641,299.0,3.0
3656,220.0,3.0
3692,1299.0,3.0
3695,1199.0,3.0
3708,899.0,9.0
3728,1999.0,9.0
3729,1999.0,12.0
3734,3399.0,6.0
3735,4499.0,3.0
3753,599.0,3.0
3777,349.0,3.0
3801,299.0,3.0
3842,2799.0,3.0
3928,1859.0,3.0
3934,3499.0,3.0
3967,299.0,3.0
4003,449.0,3.0
4014,998.0,3.0
4029,58.0,3.0
4102,220.0,3.0
4102,349.0,30.0
4103,2049.0,3.0
4138,899.0,9.0
4178,1590.0,9.0
4181,1190.0,9.0
4190,1192.0,3.0
4192,1490.0,6.0
4228,1199.0,3.0
4231,2299.0,3.0
4240,1299.0,3.0
4241,698.0,3.0
4242,1299.0,3.0
4334,799.0,3.0
4351,399.0,3.0
4352,1699.0,3.0
4355,2399.0,3.0
4357,399.0,3.0
4365,1010.45,3.0
4367,1399.0,3.0
4393,1198.0,3.0
4424,299.0,3.0
4427,299.0,3.0
4445,299.0,3.0
4467,987.58,3.0
4471,998.0,3.0
4493,699.0,3.0
4498,698.0,3.0
4516,349.0,9.0
4548,2090.0,3.0
4554,299.0,6.0
4557,399.0,3.0
4628,299.0,3.0
4639,1599.0,3.0
4701,299.0,3.0
4717,299.0,12.0
4728,249.0,9.0
4736,58.0,3.0
4806,99.0,21.0
4807,399.0,6.0
4808,399.0,9.0
4870,1299.0,24.0
4871,999.0,6.0
4872,1199.0,6.0
4873,1199.0,3.0
4899,1349.0,6.0
4904,399.0,6.0
4906,1999.0,12.0
4962,399.0,6.0
4977,1899.0,3.0
4996,1799.0,3.0
5013,698.0,3.0
5037,2599.0,6.0
5046,349.0,3.0
5051,349.0,3.0
5240,799.0,6.0
5247,2999.0,3.0
5272,299.0,6.0
5305,299.0,3.0
5341,1399.0,6.0
5361,28.0,3.0
5362,498.0,3.0
5380,3490.0,12.0
5459,349.0,6.0
5467,1649.0,3.0
5485,349.0,3.0
5509,299.0,3.0
5572,1890.0,6.0
5581,499.0,3.0
5601,399.0,6.0
5634,3190.0,3.0
5638,3190.0,3.0
5643,2990.0,15.0
5655,1290.0,3.0
5658,799.0,3.0
5663,3690.0,9.0
5666,3490.0,9.0
5669,3490.0,3.0
5672,3490.0,3.0
5674,499.0,3.0
5759,799.0,9.0
5760,1499.0,3.0
5811,199.0,3.0
5820,3199.0,6.0
5821,1099.0,24.0
5822,1149.0,36.0
5823,2799.0,12.0
5827,349.0,3.0
5828,549.0,3.0
5830,549.0,3.0
5834,999.0,3.0
5837,499.0,3.0
5900,1199.0,3.0
5917,59.0,3.0
5962,699.0,6.0
6027,299.0,3.0
6028,2499.0,3.0
6051,399.0,3.0
6092,1199.0,3.0
6108,98.0,3.0
6117,249.0,6.0
6126,999.0,15.0
6128,2499.0,9.0
6129,1999.0,9.0
6156,99.0,3.0
6185,499.0,3.0
6226,199.0,3.0
6236,299.0,3.0
6252,299.0,6.0
6254,1249.0,6.0
6285,349.0,3.0
6297,1649.0,6.0
6308,299.0,6.0
6351,449.0,6.0
6406,98.0,3.0
6422,58.0,3.0
