,shop_id,sales_by_item
0,2,103746.0
1,3,67443.0
2,4,29361.0
3,5,33138.0
4,6,138678.0
5,7,52371.0
6,10,22716.0
7,12,295172.99999999703
8,14,57450.0
9,15,125139.0
10,16,121923.0
11,18,35787.0
12,19,51420.0
13,21,228999.0
14,22,150717.0
15,24,56955.0
16,25,288432.0
17,26,120462.0
18,27,172959.0
19,28,202512.0
20,29,85737.0
21,31,304692.00000000006
22,34,12117.0
23,35,65769.0
24,37,220500.0
25,38,73482.0
26,39,34686.0
27,41,36840.0
28,42,330110.99999999994
29,44,137445.0
30,45,82350.0
31,46,93902.99999999999
32,47,80142.0
33,48,32745.0
34,49,35784.0
35,50,142053.0
36,51,10665.0
37,52,63531.0
38,53,50505.0
39,54,125343.0
40,55,170847.59999999998
41,56,54906.0
42,57,226269.0
43,58,142863.0
44,59,113108.99999999997
